rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean
3.0988984199999994,79644,0.01,7303,10,15492,4.74
3.0092872399999995,79656,0.01,7304,10,15496,4.64
3.05887795,79671,0.01,7306,10,15500,4.69
2.8823680599999992,79678,0.01,7306,10,15504,4.48
2.9410032,79702,0.01,7309,10,15508,4.56
2.85771626,79716,0.01,7310,10,15512,4.45
2.8583658399999994,79736,0.01,7312,10,15516,4.46
2.8863571199999996,79759,0.01,7314,10,15520,4.48
2.832547679999999,79772,0.01,7315,10,15524,4.41
2.9106562599999997,79793,0.01,7317,10,15528,4.5
2.8753162199999998,79818,0.01,7319,10,15532,4.46
2.8762161699999997,79832,0.01,7321,10,15536,4.46
2.9091921199999997,79861,0.01,7323,10,15540,4.51
2.8841752299999994,79877,0.01,7325,10,15544,4.48
2.9498211100000002,79895,0.01,7326,10,15548,4.55
2.7413764200000004,79908,0.01,7327,10,15552,4.29
2.64719145,79921,0.01,7329,10,15556,4.17
2.7104018199999995,79948,0.01,7331,10,15560,4.26
2.7399845199999997,79965,0.01,7333,10,15564,4.3
2.7185846499999995,79978,0.01,7334,10,15568,4.29
2.7008859800000007,79997,0.01,7336,10,15572,4.25
2.65808059,80010,0.01,7337,10,15576,4.19
2.702196209999999,80026,0.01,7338,10,15580,4.24
2.7373574900000004,80048,0.01,7340,10,15584,4.28
2.821295669999999,80073,0.01,7343,10,15588,4.41
2.851622409999999,80088,0.01,7344,10,15592,4.44
2.93380964,80110,0.01,7346,10,15596,4.54
2.9495323300000007,80128,0.01,7348,10,15600,4.57
3.0646238500000003,80150,0.01,7350,10,15604,4.72
2.96156374,80161,0.01,7351,10,15608,4.59
2.9507199499999994,80174,0.01,7352,10,15612,4.58
2.93294477,80190,0.01,7353,10,15616,4.54
2.878913,80207,0.01,7355,10,15620,4.48
3.03224769,80243,0.01,7358,10,15624,4.71
2.96869951,80257,0.01,7360,10,15628,4.64
2.908082999999999,80273,0.01,7361,10,15632,4.55
2.9341109099999994,80290,0.01,7363,10,15636,4.58
2.8240013199999994,80303,0.01,7364,10,15640,4.42
2.7677575699999992,80312,0.01,7365,10,15644,4.35
2.84574328,80341,0.01,7367,10,15648,4.46
2.99672729,80375,0.01,7370,10,15652,4.67
3.1063581499999993,80402,0.01,7373,10,15656,4.81
3.00393715,80416,0.01,7374,10,15660,4.68
2.99704261,80432,0.01,7376,10,15664,4.67
3.10376079,80457,0.01,7378,10,15668,4.79
3.1403969199999993,80482,0.01,7380,10,15672,4.85
3.20553009,80502,0.01,7382,10,15676,4.92
3.20503325,80519,0.01,7384,10,15680,4.93
3.12037868,80529,0.01,7385,10,15684,4.81
3.06398575,80545,0.01,7386,10,15688,4.72
3.06848042,80561,0.01,7387,10,15692,4.73
2.9987091699999997,80574,0.01,7389,10,15696,4.64
2.99517859,80592,0.01,7390,10,15700,4.64
2.9267769599999998,80605,0.01,7392,10,15704,4.55
3.0749108500000006,80636,0.01,7394,10,15708,4.75
3.2030204799999997,80667,0.01,7397,10,15712,4.93
3.2761307000000004,80693,0.01,7400,10,15716,5.03
3.304423509999999,80712,0.01,7401,10,15720,5.05
3.21464532,80733,0.01,7403,10,15724,4.9
3.3096524299999994,80759,0.01,7406,10,15728,5.02
3.3522623200000004,80779,0.01,7408,10,15732,5.06
3.406176259999999,80803,0.01,7410,10,15736,5.13
3.4764026599999998,80825,0.01,7412,10,15740,5.22
3.50767536,80838,0.01,7413,10,15744,5.26
3.4669474999999994,80862,0.01,7415,10,15748,5.21
3.39796398,80884,0.01,7417,10,15752,5.09
3.2919033300000002,80899,0.01,7419,10,15756,4.97
3.3098987999999996,80914,0.01,7420,10,15760,4.98
3.3210873999999997,80931,0.01,7421,10,15764,4.99
3.3098785700000004,80954,0.01,7424,10,15768,4.97
3.2691057799999994,80972,0.01,7425,10,15772,4.9
3.2810376800000007,80993,0.01,7427,10,15776,4.91
3.4399597100000006,81028,0.01,7430,10,15780,5.09
3.5488165600000006,81054,0.01,7433,10,15784,5.25
3.6503616300000004,81085,0.01,7436,10,15788,5.4
3.62232489,81097,0.01,7437,10,15792,5.36
3.75818399,81128,0.01,7440,10,15796,5.54
3.8488732,81155,0.01,7442,10,15800,5.63
3.8892712399999994,81174,0.01,7444,10,15804,5.69
3.7825039599999997,81191,0.01,7445,10,15808,5.55
3.76558045,81218,0.01,7448,10,15812,5.51
3.666629680000001,81231,0.01,7449,10,15816,5.38
3.6984234700000003,81255,0.01,7451,10,15820,5.43
3.7264325599999997,81281,0.01,7454,10,15824,5.48
3.7502597499999997,81308,0.01,7456,10,15828,5.49
3.73291158,81326,0.01,7458,10,15832,5.47
3.6979779999999995,81345,0.01,7459,10,15836,5.42
3.6124130500000002,81357,0.01,7460,10,15840,5.32
3.7276689899999997,81385,0.01,7463,10,15844,5.47
3.674735289999999,81401,0.01,7464,10,15848,5.39
3.5853579299999994,81413,0.01,7466,10,15852,5.29
3.57011894,81424,0.01,7467,10,15856,5.25
3.59365656,81443,0.01,7468,10,15860,5.29
3.5913773200000003,81459,0.01,7470,10,15864,5.28
3.6690673799999995,81495,0.01,7473,10,15868,5.41
3.72929666,81521,0.01,7475,10,15872,5.49
3.7237393400000003,81542,0.01,7477,10,15876,5.49
3.55440091,81559,0.01,7479,10,15880,5.31
3.438035129999999,81569,0.01,7480,10,15884,5.15
3.4171933099999996,81595,0.01,7482,10,15888,5.1
3.5656837,81624,0.01,7485,10,15892,5.27
3.45848968,81641,0.01,7486,10,15896,5.13
3.34138759,81655,0.01,7488,10,15900,5.0
3.3335177100000006,81671,0.01,7489,10,15904,4.97
3.3055111499999996,81683,0.01,7490,10,15908,4.92
3.24263664,81704,0.01,7492,10,15912,4.86
3.2950962000000006,81723,0.01,7494,10,15916,4.92
3.2422076300000002,81740,0.01,7496,10,15920,4.85
3.2992193700000003,81771,0.01,7498,10,15924,4.9
3.2490362699999995,81795,0.01,7501,10,15928,4.87
3.2592787399999996,81815,0.01,7502,10,15932,4.89
3.20074586,81826,0.01,7504,10,15936,4.81
3.23966684,81842,0.01,7505,10,15940,4.85
3.1200003999999995,81855,0.01,7506,10,15944,4.7
3.1532931799999995,81876,0.01,7508,10,15948,4.75
3.26150756,81903,0.01,7511,10,15952,4.9
3.2398985100000006,81913,0.01,7512,10,15956,4.89
3.2421523899999998,81930,0.01,7513,10,15960,4.87
3.2996208300000003,81955,0.01,7515,10,15964,4.96
3.21218981,81979,0.01,7518,10,15968,4.84
3.13251433,81997,0.01,7519,10,15972,4.76
3.06699668,82011,0.01,7520,10,15976,4.69
3.1052413399999996,82031,0.01,7522,10,15980,4.72
3.2149163599999997,82054,0.01,7524,10,15984,4.85
3.1621778100000006,82075,0.01,7526,10,15988,4.8
3.12937162,82102,0.01,7529,10,15992,4.78
3.1806475400000007,82127,0.01,7531,10,15996,4.86
3.1726198,82140,0.01,7532,10,16000,4.85
3.18540395,82159,0.01,7534,10,16004,4.88
3.20516442,82173,0.01,7535,10,16008,4.9
3.1822998899999995,82189,0.01,7537,10,16012,4.85
3.1732067799999992,82207,0.01,7538,10,16016,4.84
3.2100173499999998,82229,0.01,7540,10,16020,4.89
3.19553586,82259,0.01,7543,10,16024,4.88
3.2566585100000007,82291,0.01,7546,10,16028,4.96
3.2160653200000002,82305,0.01,7547,10,16032,4.9
3.244624,82319,0.01,7549,10,16036,4.93
3.34495094,82348,0.01,7551,10,16040,5.06
3.4407251899999993,82373,0.01,7554,10,16044,5.18
3.46415708,82397,0.01,7556,10,16048,5.21
3.3668310299999997,82411,0.01,7557,10,16052,5.08
3.5788880299999994,82448,0.01,7561,10,16056,5.35
3.7390611000000002,82487,0.01,7564,10,16060,5.57
3.70178963,82508,0.01,7566,10,16064,5.53
3.63029664,82522,0.01,7567,10,16068,5.43
3.7345479299999997,82552,0.01,7570,10,16072,5.55
3.7421190199999996,82568,0.01,7572,10,16076,5.57
3.76816531,82591,0.01,7574,10,16080,5.6
3.825394599999999,82622,0.01,7576,10,16084,5.68
3.7695798499999995,82635,0.01,7578,10,16088,5.6
3.7411153299999995,82659,0.01,7580,10,16092,5.57
3.7241099599999994,82681,0.01,7582,10,16096,5.54
3.814361449999999,82705,0.01,7584,10,16100,5.65
3.8552918599999995,82729,0.01,7586,10,16104,5.7
4.04947743,82767,0.01,7590,10,16108,5.94
4.035662680000001,82782,0.01,7591,10,16112,5.93
4.07051371,82805,0.01,7593,10,16116,5.98
3.98936741,82817,0.01,7594,10,16120,5.88
3.89446783,82835,0.01,7596,10,16124,5.76
3.77097762,82849,0.01,7597,10,16128,5.58
3.82580959,82870,0.01,7599,10,16132,5.65
3.8536262600000004,82890,0.01,7601,10,16136,5.71
3.86234048,82921,0.01,7604,10,16140,5.73
3.92519635,82954,0.01,7607,10,16144,5.81
3.8795257800000003,82971,0.01,7608,10,16148,5.74
3.94043614,82993,0.01,7610,10,16152,5.82
3.8120882,83012,0.01,7612,10,16156,5.64
3.6038282200000005,83025,0.01,7613,10,16160,5.38
3.67253459,83053,0.01,7616,10,16164,5.45
3.7288979699999993,83073,0.01,7618,10,16168,5.51
3.62225769,83089,0.01,7619,10,16172,5.37
3.5967461399999996,83101,0.01,7620,10,16176,5.33
3.5438790199999994,83119,0.01,7622,10,16180,5.28
3.519852,83147,0.01,7624,10,16184,5.25
3.74809059,83190,0.01,7628,10,16188,5.55
3.7262150599999995,83212,0.01,7630,10,16192,5.53
3.7025389900000003,83232,0.01,7632,10,16196,5.51
3.6789461799999996,83253,0.01,7634,10,16200,5.48
3.64855762,83272,0.01,7636,10,16204,5.43
3.4714261699999995,83289,0.01,7637,10,16208,5.22
3.5377473499999996,83312,0.01,7640,10,16212,5.3
3.52120612,83332,0.01,7641,10,16216,5.27
3.6079262599999997,83356,0.01,7644,10,16220,5.39
3.8584916,83404,0.01,7648,10,16224,5.69
3.8462528399999996,83417,0.01,7649,10,16228,5.68
3.8909330199999994,83443,0.01,7652,10,16232,5.73
3.883082880000001,83461,0.01,7653,10,16236,5.71
3.8261929100000005,83483,0.01,7655,10,16240,5.62
3.6772454900000002,83497,0.01,7656,10,16244,5.43
3.6775892599999995,83516,0.01,7658,10,16248,5.45
3.6178366499999997,83531,0.01,7660,10,16252,5.38
3.6094367099999993,83549,0.01,7661,10,16256,5.37
3.6035906099999995,83561,0.01,7662,10,16260,5.36
