rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes
0.01,5.97,1898,12,3.9872031100000003,23944,4012
0.01,5.93,1901,12,3.975423849999999,23977,4016
0.01,6.0,1902,12,4.04013397,23994,4020
0.01,6.08,1904,12,4.09135928,24013,4024
0.01,5.84,1906,12,3.92987878,24036,4028
0.01,5.68,1908,12,3.82343887,24063,4032
0.01,5.66,1909,12,3.8111808399999996,24079,4036
0.01,5.38,1910,12,3.6220801599999994,24095,4040
0.01,5.19,1912,12,3.4966395,24115,4044
0.01,5.2,1914,12,3.5082547499999994,24140,4048
0.01,5.52,1918,12,3.7416624199999995,24190,4052
0.01,5.49,1919,12,3.72212826,24205,4056
0.01,5.42,1920,12,3.65751872,24217,4060
0.01,5.41,1921,12,3.6533999999999995,24230,4064
0.01,5.31,1922,12,3.59259507,24248,4068
0.01,5.47,1925,12,3.702165939999999,24276,4072
0.01,5.39,1926,12,3.63889977,24290,4076
0.01,5.5,1928,12,3.72150756,24319,4080
0.01,5.67,1931,12,3.854296019999999,24353,4084
0.01,5.64,1932,12,3.805662399999999,24374,4088
0.01,5.58,1934,12,3.7408658999999993,24389,4092
0.01,5.55,1935,12,3.70634859,24406,4096
0.01,5.61,1937,12,3.7576612999999996,24438,4100
0.01,5.57,1939,12,3.7141101100000005,24458,4104
0.01,5.76,1942,12,3.83627643,24496,4108
0.01,5.69,1943,12,3.77473172,24513,4112
0.01,5.67,1946,12,3.7677842799999994,24544,4116
0.01,5.69,1947,12,3.7691985299999997,24563,4120
0.01,5.9,1950,12,3.94113772,24603,4124
0.01,5.79,1951,12,3.8626259800000002,24615,4128
0.01,5.82,1954,12,3.8882180999999996,24645,4132
0.01,5.94,1956,12,3.981418979999999,24673,4136
0.01,5.97,1958,12,3.9971321399999997,24692,4140
0.01,5.91,1959,12,3.94345111,24706,4144
0.01,5.83,1960,12,3.87784994,24723,4148
0.01,5.58,1962,12,3.7063010100000002,24748,4152
0.01,5.55,1963,12,3.6780043500000006,24760,4156
0.01,5.64,1965,12,3.7659801300000004,24781,4160
0.01,5.64,1966,12,3.7603977599999996,24794,4164
0.01,5.6,1967,12,3.7408232800000003,24808,4168
0.01,5.63,1969,12,3.7612670499999994,24839,4172
0.01,5.77,1972,12,3.8662997099999994,24867,4176
0.01,5.62,1973,12,3.7564511799999996,24881,4180
0.01,5.6,1975,12,3.7330256999999993,24913,4184
0.01,5.66,1977,12,3.78465665,24940,4188
0.01,5.7,1979,12,3.8217203500000005,24959,4192
0.01,5.79,1981,12,3.9115738700000002,24985,4196
0.01,5.66,1982,12,3.82063004,25004,4200
0.01,5.59,1983,12,3.76884014,25017,4204
0.01,5.48,1986,12,3.6917665500000005,25044,4208
0.01,5.45,1987,12,3.6770452999999996,25058,4212
0.01,5.41,1989,12,3.6475049,25085,4216
0.01,5.58,1992,12,3.7748514699999998,25121,4220
0.01,5.35,1993,12,3.60742029,25138,4224
0.01,5.37,1994,12,3.62901182,25152,4228
0.01,5.34,1996,12,3.5838420099999997,25179,4232
0.01,5.21,1998,12,3.4720001499999995,25194,4236
0.01,5.36,2000,12,3.60094095,25228,4240
0.01,5.59,2003,12,3.7780312300000003,25265,4244
0.01,5.75,2006,12,3.9079055100000004,25298,4248
0.01,5.76,2008,12,3.9012699399999997,25324,4252
0.01,5.79,2009,12,3.9248691000000004,25339,4256
0.01,5.91,2012,12,4.005100860000001,25372,4260
0.01,6.07,2014,12,4.13772274,25401,4264
0.01,6.12,2015,12,4.1723983,25420,4268
0.01,6.06,2017,12,4.14818711,25445,4272
0.01,5.94,2019,12,4.0566878,25461,4276
0.01,5.96,2020,12,4.06303449,25477,4280
0.01,5.94,2022,12,4.0705608799999995,25507,4284
0.01,6.02,2025,12,4.15044986,25542,4288
0.01,6.11,2027,12,4.24575811,25570,4292
0.01,6.27,2031,12,4.34238713,25612,4296
0.01,6.55,2034,12,4.55889487,25659,4300
0.01,6.63,2036,12,4.61871926,25680,4304
0.01,6.79,2039,12,4.747354939999999,25723,4308
0.01,6.87,2041,12,4.8026892199999995,25745,4312
0.01,6.88,2043,12,4.812549259999999,25773,4316
0.01,6.8,2046,12,4.75366645,25801,4320
0.01,6.9,2048,12,4.82009373,25828,4324
0.01,6.91,2049,12,4.821148820000001,25843,4328
0.01,7.03,2052,12,4.92283738,25882,4332
0.01,7.03,2053,12,4.9277817200000005,25897,4336
0.01,6.9,2055,12,4.81856769,25918,4340
0.01,6.93,2058,12,4.837926110000001,25958,4344
0.01,6.74,2059,12,4.68680107,25972,4348
0.01,6.74,2061,12,4.69666422,25998,4352
0.01,6.85,2063,12,4.789915789999999,26024,4356
0.01,6.68,2065,12,4.66810093,26040,4360
0.01,6.54,2066,12,4.5678302,26055,4364
0.01,6.66,2068,12,4.64988924,26086,4368
0.01,6.69,2070,12,4.66684648,26114,4372
0.01,6.71,2072,12,4.68024451,26132,4376
0.01,6.78,2074,12,4.745536619999999,26155,4380
0.01,6.71,2076,12,4.66863207,26178,4384
0.01,6.58,2077,12,4.56624589,26200,4388
