rollout/exploration_rate,time/fps,train/n_updates,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss
0.8631999999999997,11,1820,220,8.34,0.00063,158,1824,6.016261680000001,0.657410517334938
0.8611000000000001,11,1848,224,8.3,0.00063,160,1852,5.95976569,0.6660010665655136
0.8583250000000002,11,1888,228,8.19,0.00063,164,1889,5.88086387,0.5995536744594574
0.8564499999999996,11,1912,232,8.27,0.00063,166,1914,5.948590060000002,0.6032391935586929
0.8538999999999997,11,1944,236,8.4,0.00063,169,1948,6.0313165500000006,0.6075114905834198
0.8515750000000002,11,1976,240,8.19,0.00063,171,1979,5.85218386,0.7270721346139908
0.8494000000000002,11,2004,244,8.14,0.00063,174,2008,5.78577029,0.8112017512321472
0.8461749999999998,11,2048,248,8.19,0.00063,178,2051,5.838356850000001,0.7486167848110199
0.8431750000000001,11,2088,252,8.28,0.00063,181,2091,5.935996359999999,0.7543314546346664
0.8415250000000001,11,2112,256,8.12,0.00063,183,2113,5.8006300699999995,0.7558089792728424
0.8387500000000003,11,2148,260,8.22,0.00063,186,2150,5.860727749999999,0.6148284822702408
0.8362000000000002,11,2180,264,8.36,0.00063,189,2184,5.986919269999999,0.7050622403621674
0.8332750000000002,11,2220,268,8.18,0.00063,193,2223,5.882296749999998,0.7117852866649628
